neutral	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	3155657768_b83a7831e5.jpg#0
neutral	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	3155657768_b83a7831e5.jpg#0
entailment	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	3155657768_b83a7831e5.jpg#3
contradiction	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	3155657768_b83a7831e5.jpg#3
neutral	A man is skateboarding on a half pipe	The kids are playing outdoors near a man with a smile	3155657768_b83a7831e5.jpg#3
neutral	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	2067362863_59577f9d4d.jpg#0
neutral	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	2067362863_59577f9d4d.jpg#0
neutral	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	2067362863_59577f9d4d.jpg#0
neutral	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	2067362863_59577f9d4d.jpg#0
contradiction	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	2067362863_59577f9d4d.jpg#4
neutral	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	2067362863_59577f9d4d.jpg#4
neutral	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	2067362863_59577f9d4d.jpg#4
entailment	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	3373243733_9aba7740ed.jpg#0
neutral	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	3373243733_9aba7740ed.jpg#0
neutral	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	3373243733_9aba7740ed.jpg#0
neutral	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	3373243733_9aba7740ed.jpg#0
neutral	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	3373243733_9aba7740ed.jpg#0
neutral	A person in a black jacket is doing tricks on a motorbike	The girl, who is little, is carefully combing her hair into a pony tail	3373243733_9aba7740ed.jpg#0
neutral	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	3373243733_9aba7740ed.jpg#3
entailment	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	3147217787_ed21cd4990.jpg#2
contradiction	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	3147217787_ed21cd4990.jpg#2
neutral	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	3147217787_ed21cd4990.jpg#2
neutral	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	3147217787_ed21cd4990.jpg#2
neutral	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	3147217787_ed21cd4990.jpg#2
neutral	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	3147217787_ed21cd4990.jpg#4
entailment	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	3679341667_936769fd0c.jpg#1
neutral	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	3679341667_936769fd0c.jpg#1
neutral	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	3679341667_936769fd0c.jpg#1
neutral	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	3679341667_936769fd0c.jpg#1
neutral	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	3679341667_936769fd0c.jpg#2
neutral	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	3679341667_936769fd0c.jpg#2
neutral	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	1956678973_223cb1b847.jpg#0
neutral	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	1956678973_223cb1b847.jpg#0
neutral	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	1956678973_223cb1b847.jpg#0
neutral	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	1956678973_223cb1b847.jpg#0
contradiction	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	2301867590_98c0ecb0cb.jpg#2
contradiction	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	2301867590_98c0ecb0cb.jpg#2
neutral	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	2301867590_98c0ecb0cb.jpg#2
contradiction	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	2301867590_98c0ecb0cb.jpg#4
neutral	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	2301867590_98c0ecb0cb.jpg#4
neutral	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	2301867590_98c0ecb0cb.jpg#4
entailment	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	3718007650_e5930b4509.jpg#4
neutral	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	3718007650_e5930b4509.jpg#4
neutral	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	3718007650_e5930b4509.jpg#4
neutral	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	3718007650_e5930b4509.jpg#4
neutral	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	3718007650_e5930b4509.jpg#4
neutral	A little girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	3718007650_e5930b4509.jpg#4
entailment	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	3718007650_e5930b4509.jpg#3
neutral	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	3718007650_e5930b4509.jpg#3
neutral	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	3718007650_e5930b4509.jpg#3
neutral	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	3718007650_e5930b4509.jpg#3
contradiction	A man is jumping into an empty pool	A man is jumping into a full pool	2905948395_ca3e6b3c9a.jpg#1
neutral	A man is jumping into an empty pool	The man's jumper is in the empty pool	2905948395_ca3e6b3c9a.jpg#1
neutral	A lone biker is jumping in the air	A man is jumping into a full pool	2905948395_ca3e6b3c9a.jpg#1
neutral	A man is jumping into an empty pool	There is no biker jumping in the air	2905948395_ca3e6b3c9a.jpg#1
neutral	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	3067885047_f69d90c35b.jpg#3
neutral	Four girls are doing backbends and playing outdoors	Four children are doing backbends in the park	3067885047_f69d90c35b.jpg#2
neutral	Two teams are competing in a football match	Two teams are competing in a baseball game	2939371251_f923569a72.jpg#4
entailment	Two teams are competing in a football match	Football is being played by two competing teams	2939371251_f923569a72.jpg#4
neutral	Two teams are competing in a football match	A man who is playing is running with the ball in his hands	2939371251_f923569a72.jpg#4
neutral	A player is running with the ball	Football is being played by two competing teams	2939371251_f923569a72.jpg#1
neutral	A player is running with the ball	Two teams are competing in a football match	2939371251_f923569a72.jpg#1
entailment	Five children are standing in front of a wooden hut	Five children are standing in front of a hut made of wood	792362827_5ab5281b99.jpg#1
neutral	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	792362827_5ab5281b99.jpg#1
neutral	Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a weapon	792362827_5ab5281b99.jpg#1
neutral	Five children are standing in front of a wooden hut	Five kids are standing close together and one kid has a gun	792362827_5ab5281b99.jpg#1
entailment	Five kids are standing close together and one kid has a gun	Five kids are standing close together and one kid has a weapon	792362827_5ab5281b99.jpg#4
contradiction	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun	792362827_5ab5281b99.jpg#4
neutral	A man is sitting in a field	A man is running in a field	470903027_489cc507de.jpg#0
neutral	A man is sitting in a field	There is no person wearing a hat and sitting on the grass	470903027_489cc507de.jpg#0
neutral	A man is sitting in a field	A person is wearing a hat and is sitting on the grass	470903027_489cc507de.jpg#0
neutral	A person is wearing a hat and is sitting on the grass	A person is sitting in a field and is wearing a hat	470903027_489cc507de.jpg#2
contradiction	A person is wearing a hat and is sitting on the grass	There is no person wearing a hat and sitting on the grass	470903027_489cc507de.jpg#2
neutral	A person is wearing a hat and is sitting on the grass	A man is running in a field	470903027_489cc507de.jpg#2
contradiction	A group of friends are riding the current in a raft	A group is not riding the current in a raft	2056377805_e9a9b3bcf0.jpg#0
neutral	A group of friends are riding the current in a raft	Preservers are being worn by a group of people who are practicing water safety	2056377805_e9a9b3bcf0.jpg#0
neutral	A group of friends are riding the current in a raft	This group of people is practicing water safety and wearing preservers	2056377805_e9a9b3bcf0.jpg#0
entailment	This group of people is practicing water safety and wearing preservers	Preservers are being worn by a group of people who are practicing water safety	2056377805_e9a9b3bcf0.jpg#4
entailment	A deer is jumping over a fence	A deer is jumping over the enclosure	3274879561_74997bbfff.jpg#1
contradiction	A deer is jumping over a fence	A deer isn't jumping over the fence	3274879561_74997bbfff.jpg#1
entailment	A deer is jumping over a fence	A deer is jumping a fence	3274879561_74997bbfff.jpg#1
contradiction	A deer is jumping a fence	There is no deer jumping fences	3274879561_74997bbfff.jpg#3
contradiction	A deer is jumping a fence	A deer isn't jumping over the fence	3274879561_74997bbfff.jpg#3
