pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1	S1S2_intra	A group of kids is playing in a yard and an old man is standing in the background	S1_null	A group of boys in a yard is playing and a man is standing in the background	S2_lex	4.5	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
3	S1S2_intra	The young boys are playing outdoors and the man is smiling nearby	S1_null	The kids are playing outdoors near a man with a smile	S2_lex,det	4.7	ENTAILMENT	A_entails_B	B_entails_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
4	S1S3_intra	The young boys are playing outdoors and the man is smiling nearby	S1_null	There is no boy playing outdoors and there is no man smiling	S3_od	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRIAL
9	S1S1_inter	The young boys are playing outdoors and the man is smiling nearby	S1_null	A group of kids is playing in a yard and an old man is standing in the background	S1_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
11	S1S3_intra	A brown dog is attacking another animal in front of the man in pants	S1_null	A brown dog is helping another animal in front of the man in pants	S3_so	3.665	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
13	S1S3_intra	Two dogs are wrestling and hugging	S1_null	There is no dog wrestling and hugging	S3_od	3.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
14	S1S2_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are fighting	S2_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
15	S1S3_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	There is no dog wrestling and hugging	S3_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
16	S1S2_inter	Two dogs are wrestling and hugging	S1_null	A brown dog is attacking another animal in front of the tall man in pants	S2_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
17	S1S3_inter	Two dogs are wrestling and hugging	S1_null	A brown dog is helping another animal in front of the man in pants	S3_null	2.3	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
