index	pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	jpg
0	1	S1S2_intra	A group of kids is playing in a yard and an old man is standing in the background	S1_null	A group of boys in a yard is playing and a man is standing in the background	S2_lex	4.5	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN	3155657768_b83a7831e5.jpg#0
1	9	S1S1_inter	The young boys are playing outdoors and the man is smiling nearby	S1_null	A group of kids is playing in a yard and an old man is standing in the background	S1_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN	3155657768_b83a7831e5.jpg#0
2	3	S1S2_intra	The young boys are playing outdoors and the man is smiling nearby	S1_null	The kids are playing outdoors near a man with a smile	S2_lex,det	4.7	ENTAILMENT	A_entails_B	B_entails_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN	3155657768_b83a7831e5.jpg#3
6	14	S1S2_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are fighting	S2_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN	2067362863_59577f9d4d.jpg#0
8	18	S1S1_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are wrestling and hugging	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN	2067362863_59577f9d4d.jpg#0
15	26	S1S2_inter	A person is riding the bicycle on one wheel	S1_null	A man in a black jacket is doing tricks on a motorbike	S2_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRAIN	3373243733_9aba7740ed.jpg#0
17	9863	unrel	A person in a black jacket is doing tricks on a motorbike	S1_null	The girl, who is little, is carefully combing her hair into a pony tail	S2_null	1.3	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	The little girl is putting her hair into a pony tail.	FLICKR	SEMEVAL	TRAIN	3373243733_9aba7740ed.jpg#0
19	30	S1S2_intra	A man with a jersey is dunking the ball at a basketball game	S1_null	The ball is being dunked by a man with a jersey at a basketball game	S2_top	4.9	ENTAILMENT	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN	3147217787_ed21cd4990.jpg#2
21	35	S1S2_inter	A man with a jersey is dunking the ball at a basketball game	S1_null	A man who is playing dunks the basketball into the net and a crowd is in background	S2_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN	3147217787_ed21cd4990.jpg#2
23	40	S1S1_inter	The player is dunking the basketball into the net and a crowd is in background	S1_null	A man with a jersey is dunking the ball at a basketball game	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN	3147217787_ed21cd4990.jpg#2
27	47	S1S3_inter	Two people are kickboxing and spectators are watching	S1_null	Two young women are not sparring in a kickboxing fight	S3_null	3.415	NEUTRAL	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN	3679341667_936769fd0c.jpg#1
30	49	S1S3_inter	Two women are sparring in a kickboxing match	S1_null	Two people are kickboxing and spectators are not watching	S3_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN	3679341667_936769fd0c.jpg#2
33	58	S1S3_inter	Children in red shirts are playing in the leaves	S1_null	Three kids are sitting in the leaves	S3_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN	1956678973_223cb1b847.jpg#0
34	62	S1S1_inter	Children in red shirts are playing in the leaves	S1_null	Three kids are jumping in the leaves	S1_null	4.0	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN	1956678973_223cb1b847.jpg#0
37	73	S1S1_inter	Two children are lying in the snow and are making snow angels	S1_null	Two people in snowsuits are lying in the snow and making snow angels	S1_null	4.2	NEUTRAL	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TRAIN	2301867590_98c0ecb0cb.jpg#2
40	72	S1S4_inter	Two people in snowsuits are lying in the snow and making snow angels	S1_null	Two angels are making snow on the lying children	S4_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN	2301867590_98c0ecb0cb.jpg#4
