simple_te_gold_label	simple_te_prediction	simple_te_premise_toks	simple_te_hypothesis_toks	simple_te_jpg	simple_te_premise	simple_te_hypothesis	mt_gold_label	mt_prediction	mt_premise_toks	mt_hypothesis_toks	mt_jpg	mt_premise	mt_hypothesis
entailment	contradiction	two children are hanging on a large branch	two children are climbing a tree	Two children are hanging on a large branch	Two children are climbing a tree		contradiction	contradiction	a child is holding a squirt gun	there is no child holding a water gun or getting sprayed with water	2735792721_b8fe85e803.jpg	A child is holding a squirt gun	There is no child holding a water gun or getting sprayed with water
entailment	neutral	a man is falling off a horse on a track and is laid in the wild	a man is getting on a horse on a track laid in the wild	A man is falling off a horse on a track and is laid in the wild	A man is getting on a horse on a track laid in the wild		entailment	entailment	a man is falling off a horse on a track and is laid in the wild	a man is getting on a horse on a track laid in the wild	2578289278_01516d23a0.jpg	A man is falling off a horse on a track and is laid in the wild	A man is getting on a horse on a track laid in the wild
entailment	contradiction	the snowboarder is leaping over white snow	one person who is practicing snowboarding jumps into the air	The snowboarder is leaping over white snow	One person who is practicing snowboarding jumps into the air		entailment	entailment	the snowboarder is leaping over white snow	one person who is practicing snowboarding jumps into the air	2975118353_5af5a5df54.jpg	The snowboarder is leaping over white snow	One person who is practicing snowboarding jumps into the air
entailment	contradiction	a man on a bicycle is riding on the beach	a person is riding a bicycle in the sand beside the ocean	A man on a bicycle is riding on the beach	A person is riding a bicycle in the sand beside the ocean		entailment	entailment	a horse is leaping a hurdle and has a rider on its back	a horse and its rider are leaping over a barrier	3211581957_df2f7e2236.jpg	A horse is leaping a hurdle and has a rider on its back	A horse and its rider are leaping over a barrier
entailment	neutral	a snowboarder is doing a flip over a mound of snow	somebody is leaping in the air on a board	A snowboarder is doing a flip over a mound of snow	Somebody is leaping in the air on a board		entailment	entailment	a man on a bicycle is riding on the beach	a person is riding a bicycle in the sand beside the ocean	2137789511_69a6c6afa8.jpg	A man on a bicycle is riding on the beach	A person is riding a bicycle in the sand beside the ocean
entailment	contradiction	a white dog is standing on fallen leaves	one white dog is standing on the leaves on the ground	A white dog is standing on fallen leaves	One white dog is standing on the leaves on the ground		entailment	entailment	a dog is running up a grassy hill	a dog is running uphill	3361411074_83f27d2a1c.jpg	A dog is running up a grassy hill	A dog is running uphill
entailment	neutral	a brown dog and a black dog are playing in the sand	the black dog is playing with the brown dog on the sand	A brown dog and a black dog are playing in the sand	The black dog is playing with the brown dog on the sand		entailment	entailment	a biker with a blue jacket , black pants and a white helmet is driving on dirt and people are watching	blue and black pants are being worn by the motocross rider	3458559770_12cf9f134e.jpg	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	Blue and black pants are being worn by the motocross rider
entailment	contradiction	the black dog is walking through the tall grass	the black dog is not running through the grass	The black dog is walking through the tall grass	The black dog is not running through the grass		neutral	neutral	a #unk# is performing a trick on a ramp	a man on inline skates is skating at a park built for skating	3625049113_554d82c2a1.jpg	A rollerblader is performing a trick on a ramp	A man on inline skates is skating at a park built for skating
entailment	contradiction	small children are climbing a statue in a park	some children are playing on a statue	Small children are climbing a statue in a park	Some children are playing on a statue		contradiction	contradiction	the man is doing a wheelie on a mountain bike	there is no man on a bicycle riding on one wheel only	990890291_afc72be141.jpg	The man is doing a wheelie on a mountain bike	There is no man on a bicycle riding on one wheel only
entailment	neutral	a man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background	the man in the red jacket is standing next to the yellow kayak on some rocks by the ocean	A man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background	The man in the red jacket is standing next to the yellow kayak on some rocks by the ocean		entailment	entailment	a man and two women in a darkened room are sitting at a table with candles	the group of people is sitting in a room which is dim	3266399073_40820596d5.jpg	A man and two women in a darkened room are sitting at a table with candles	The group of people is sitting in a room which is dim
entailment	neutral	the black dog is walking along a tree trunk bridge over water	a river is being crossed by a dog on a bridge made from a fallen tree	The black dog is walking along a tree trunk bridge over water	A river is being crossed by a dog on a bridge made from a fallen tree		contradiction	contradiction	a man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles	there are no men sitting at the table with four beer bottles	3416339125_0860d3d1eb.jpg	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles	There are no men sitting at the table with four beer bottles
entailment	neutral	a basketball player is on the court floor and another one is grabbing the ball	two basketball players are scrambling for the ball on the court	A basketball player is on the court floor and another one is grabbing the ball	Two basketball players are scrambling for the ball on the court		contradiction	contradiction	a man on a motorcycle is riding on a track and waving	the person on the motorcycle is not holding up an arm	2911928620_06c3fa293e.jpg	A man on a motorcycle is riding on a track and waving	The person on the motorcycle is not holding up an arm
entailment	contradiction	a group of people are looking at sound equipment	a group of people are standing around a sound mixing console	A group of people are looking at sound equipment	A group of people are standing around a sound mixing console		entailment	entailment	a group of people is gathering at a stand at the fair	the people are standing at a carnival	3409947123_a8d07edecf.jpg	A group of people is gathering at a stand at the fair	The people are standing at a carnival
entailment	neutral	a black dog and a white dog are wrestling on the ground	two dogs are fighting	A black dog and a white dog are wrestling on the ground	Two dogs are fighting		entailment	entailment	a dog is in the sand that is blowing in the wind	a dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background	1541272333_1624b22546.jpg	A dog is in the sand that is blowing in the wind	A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background
