neutral	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	3373243733_9aba7740ed.jpg#0
entailment	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	3679341667_936769fd0c.jpg#1
neutral	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	3679341667_936769fd0c.jpg#2
neutral	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	3718007650_e5930b4509.jpg#4
neutral	A man is jumping into an empty pool	There is no biker jumping in the air	2905948395_ca3e6b3c9a.jpg#1
neutral	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	3067885047_f69d90c35b.jpg#3
entailment	Two teams are competing in a football match	Football is being played by two competing teams	2939371251_f923569a72.jpg#4
entailment	A deer is jumping over a fence	A deer is jumping over the enclosure	3274879561_74997bbfff.jpg#1
contradiction	A child is hitting a baseball	A child is missing a baseball	535249787_0fcaa613a0.jpg#1
entailment	A motorcycle rider is standing up on the seat of a white motorcycle	A motorcycle is riding standing up on the seat of the vehicle	2719102611_fef453bf30.jpg#2
entailment	Someone is on a black and white motorcycle and is standing on the seat	A rider is on a black and white bike and is standing on the seat	2719102611_fef453bf30.jpg#3
contradiction	Someone is on a black and white motorcycle and is standing on the seat	No motorcycle rider is standing up on the seat of a motorcycle	2719102611_fef453bf30.jpg#3
entailment	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	166433861_70b66cd381.jpg#2
entailment	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	3667908724_65c7d112f2.jpg#4
neutral	A boy is standing in the water	The boy is wading through the blue ocean	2701603045_6cbdc4ce7c.jpg#4
neutral	A man is pointing at a silver sedan	A man is in a parking lot and is playing tennis against a large wall	1432179046_8e3d75cf81.jpg#1
entailment	A man, a woman and two girls are walking on the beach	A group of people is near the sea	3088322308_b0c940b3a3.jpg#1
entailment	An Asian woman in a crowd is carrying a black bag	An Asian woman in in the midst of many people is carrying a black bag	498748832_941faaaf40.jpg#1
neutral	A dog is chasing another and is holding a stick in its mouth	A dog is chasing a stick and holding another dog in its mouth	78984436_ad96eaa802.jpg#0
entailment	A group of scouts are hiking through the grass	People are walking	244760301_5809214866.jpg#2
neutral	Two men with bikes are on the side of a snowy road	Two men are breaking into a car during a trip on a snowy road	95734035_84732a92c1.jpg#1
neutral	Two men are holding fishing poles	Two men are holding some water standing near fishing poles	488590040_35a3e96c89.jpg#2
entailment	Two children and an adult are standing next to a tree limb	Three people are standing next to a tree limb	3220009216_10f088185e.jpg#2
entailment	Two children are hanging on a large branch	Two children are climbing a tree	3220009216_10f088185e.jpg#4
contradiction	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	3122938209_2b2c6c1fab.jpg#2
contradiction	A child is holding a squirt gun	There is no child holding a water gun or getting sprayed with water	2735792721_b8fe85e803.jpg#1
entailment	A laughing child is holding a water gun and getting sprayed with water	A child is holding a squirt gun	2735792721_b8fe85e803.jpg#1
neutral	Two brown dogs are fighting over a red ball and are playing in the grass	There is no dog playing with a red ball	584484388_0eeb36d03d.jpg#1
neutral	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A pedestrian woman is building pink bicycles for boa wearing riders	2269021076_cefc9af989.jpg#1
neutral	A dog that has a brown and white coat is trotting through shallow water	A brown and white coat is floating across shallow water near a trotting dog	3682277595_55f8b16975.jpg#0
contradiction	A white and brown dog is walking through the water with difficulty	There is no white and brown dog pacing with through the water difficulty	3682277595_55f8b16975.jpg#3
entailment	A group of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a door, which is very large	3426966595_c8c4e1e872.jpg#0
entailment	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A teenage girl is wearing beads that are red	2200901777_f6c168bd32.jpg#0
contradiction	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A boy is coming down a wall artificially built for climbing and isn't attached to the rope	1357689954_72588dfdc4.jpg#1
entailment	A fearful little boy is on a climbing wall	A little boy, who looks fearful, is on a climbing wall.	1357689954_72588dfdc4.jpg#2
neutral	A young child is climbing a rock climbing wall which is indoors	A young child is under a rock climbing wall which is indoors	2565657591_6c1cdfc092.jpg#3
entailment	One man is doing a bicycle trick in midair	The cyclist is performing a trick in the air	2524084967_a5e011b73d.jpg#3
