neutral	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	#
entailment	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	#
neutral	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	#
neutral	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	#
neutral	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	#
neutral	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	#
entailment	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	#
neutral	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	#
neutral	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	#
neutral	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	#
neutral	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	#
neutral	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	#
neutral	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	#
neutral	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	#
neutral	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	#
entailment	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	#
neutral	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	#
neutral	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	#
neutral	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	#
neutral	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	#
neutral	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	#
entailment	A lone biker is jumping in the air	A biker is jumping in the air, alone	#
contradiction	A man is jumping into an empty pool	A man is jumping into a full pool	#
neutral	A man is jumping into an empty pool	The man's jumper is in the empty pool	#
neutral	A lone biker is jumping in the air	A man is jumping into a full pool	#
neutral	A lone biker is jumping in the air	A man is jumping into an empty pool	#
neutral	A player is running with the ball	Two teams are competing in a football match	#
contradiction	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun	#
neutral	A man is sitting in a field	A man is running in a field	#
neutral	A person is wearing a hat and is sitting on the grass	A person is sitting in a field and is wearing a hat	#
neutral	A man is sitting in a field	A person is wearing a hat and is sitting on the grass	#
contradiction	A group of friends are riding the current in a raft	A group is not riding the current in a raft	#
neutral	A group of friends are riding the current in a raft	This group of people is practicing water safety and wearing preservers	#
contradiction	A deer is jumping over a fence	A deer isn't jumping over the fence	#
contradiction	Several people are in front of a colorful building	Nobody is in front of the colorful building	#
neutral	People are walking outside a building that has many murals on it	Nobody is in front of the colorful building	#
neutral	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball	#
neutral	A child is hitting a baseball	A family is watching a little boy who is missing a baseball	#
neutral	A large group of Asian people is eating at a restaurant	Various customers are eating in a crowded restaurant with purple lights	#
neutral	Various people are eating at red tables in a crowded restaurant with purple lights	A small group of people is waiting to eat in a restaurant	#
contradiction	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	#
neutral	Two dogs are playing by a tree	A dog is catching a stick in the air and another is watching	#
neutral	Two dogs are playing by a tree	There is no dog leaping in the air	#
neutral	Two dogs are playing by a tree	A dog is leaping high in the air and another is watching	#
neutral	A girl in white is dancing	The dancer is dancing in front of the sound equipment	#
neutral	A girl in white is dancing	The blond girl is dancing behind the sound equipment	#
neutral	The blond girl is dancing in front of the sound equipment	There is no girl in white dancing	#
contradiction	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	#
neutral	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking	#
neutral	The children of a family are playing and waiting	Three Asian kids are dancing and a serious man is looking	#
neutral	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	#
contradiction	A hiker is on top of the mountain and is dancing	There is no hiker dancing on top of the mountain	#
neutral	A hiker is on top of the mountain and is dancing	A man is on a rock high above some trees and is standing in an uncomfortable position	#
neutral	A hiker is on top of the mountain and is dancing	There is no man on a rock high above some trees standing in a strange position	#
neutral	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is doing a joyful dance	#
contradiction	The brown horse is near a red barrel at the rodeo	The brown horse is far from a red barrel at the rodeo	#
neutral	A cowgirl is riding a horse and corners a barrel	The brown horse is near a red barrel at the rodeo	#
neutral	A boy is standing in the water	The kid is swimming through the blue ocean	#
neutral	The boy is wading through the blue ocean	A boy is standing in the cold water	#
contradiction	A man is playing a guitar on stage	There is no man playing a guitar on stage	#
neutral	A man is playing a guitar on stage	A guitarist has blonde and flyaway hair	#
neutral	A man is playing a guitar on stage	A bald person is playing a guitar	#
neutral	Several children are sitting down and have their knees raised	Several children are lying down and are raising their knees	#
contradiction	A nude lady is walking in front of a crowd in body paint	There is no lady walking in body paint in front of a crowd 	#
neutral	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	#
entailment	A young, topless woman is covered in paint	A topless girl is covered in paint	#
entailment	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint	#
neutral	A nude lady is walking in front of a crowd in body paint	A young, topless woman is covered in paint	#
contradiction	A crowd of people is near the water	A crowd of people is far from the water	#
entailment	A group of children in uniforms is standing at a gate and one is kissing the mother	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	#
neutral	A man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a friend	#
neutral	A man is in a parking lot and is playing tennis against a large wall	There is no man pointing at a car	#
entailment	A group of people is on a beach	A group of people is near the sea	#
