pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1	S1S2_intra	A group of kids is playing in a yard and an old man is standing in the background	S1_null	A group of boys in a yard is playing and a man is standing in the background	S2_lex	4.5	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
2	S1S3_intra	A group of children is playing in the house and there is no man standing in the background	S3_so,od	A group of kids is playing in a yard and an old man is standing in the background	S1_null	3.2	NEUTRAL	A_contradicts_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN
3	S1S2_intra	The young boys are playing outdoors and the man is smiling nearby	S1_null	The kids are playing outdoors near a man with a smile	S2_lex,det	4.7	ENTAILMENT	A_entails_B	B_entails_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
5	S1S2_inter	The kids are playing outdoors near a man with a smile	S2_null	A group of kids is playing in a yard and an old man is standing in the background	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
9	S1S1_inter	The young boys are playing outdoors and the man is smiling nearby	S1_null	A group of kids is playing in a yard and an old man is standing in the background	S1_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRAIN
12	S1S2_intra	Two dogs are fighting	S2_lex	Two dogs are wrestling and hugging	S1_null	4.0	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
14	S1S2_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are fighting	S2_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
18	S1S1_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are wrestling and hugging	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
25	S1S3_inter	Nobody is riding the bicycle on one wheel	S3_null	A person in a black jacket is doing tricks on a motorbike	S1_null	2.8	NEUTRAL	A_contradicts_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
26	S1S2_inter	A person is riding the bicycle on one wheel	S1_null	A man in a black jacket is doing tricks on a motorbike	S2_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRAIN
