neutral	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	#
entailment	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	#
neutral	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	#
neutral	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	#
neutral	A lone biker is jumping in the air	A man is jumping into an empty swimming pool	#
neutral	A man is jumping into an empty pool	A biker is jumping in the air, alone	#
neutral	A man is jumping into an empty pool	There is no biker jumping in the air	#
neutral	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	#
entailment	Two teams are competing in a football match	Football is being played by two competing teams	#
entailment	A deer is jumping over a fence	A deer is jumping over the enclosure	#
contradiction	A child is hitting a baseball	A child is missing a baseball	#
entailment	A motorcycle rider is standing up on the seat of a white motorcycle	A motorcycle is riding standing up on the seat of the vehicle	#
entailment	Someone is on a black and white motorcycle and is standing on the seat	A rider is on a black and white bike and is standing on the seat	#
contradiction	Someone is on a black and white motorcycle and is standing on the seat	No motorcycle rider is standing up on the seat of a motorcycle	#
entailment	A motorcyclist with a red helmet is riding a blue motorcycle down the road	A motorcyclist is riding a motorbike along a roadway	#
entailment	The blond girl is dancing in front of the sound equipment	The equipment in front of the blond dancing girl is sound	#
neutral	A boy is standing in the water	The boy is wading through the blue ocean	#
neutral	A man is pointing at a silver sedan	A man is in a parking lot and is playing tennis against a large wall	#
entailment	A man, a woman and two girls are walking on the beach	A group of people is near the sea	#
entailment	An Asian woman in a crowd is carrying a black bag	An Asian woman in in the midst of many people is carrying a black bag	#
neutral	A dog is chasing another and is holding a stick in its mouth	A dog is chasing a stick and holding another dog in its mouth	#
entailment	A group of scouts are hiking through the grass	People are walking	#
neutral	Two men with bikes are on the side of a snowy road	Two men are breaking into a car during a trip on a snowy road	#
neutral	Two men are holding fishing poles	Two men are holding some water standing near fishing poles	#
entailment	Two children and an adult are standing next to a tree limb	Three people are standing next to a tree limb	#
entailment	Two children are hanging on a large branch	Two children are climbing a tree	#
contradiction	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	#
contradiction	A child is holding a squirt gun	There is no child holding a water gun or getting sprayed with water	#
entailment	A laughing child is holding a water gun and getting sprayed with water	A child is holding a squirt gun	#
